Country,Index Year,Overall Score,Property Rights,Government Integrity,Tax Burden,Government Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,HDI
Afghanistan,2018,51.3,17.9,26.2,91.8,79.3,53.0,57.3,77.8,66.0,10.0,10.0,0.496
Albania,2018,64.5,54.1,39.9,85.1,72.7,69.1,50.4,82.4,87.8,70.0,70.0,0.791
Angola,2018,48.6,36.0,18.9,82.4,69.1,58.3,50.9,58.5,59.5,30.0,40.0,0.574
Armenia,2018,68.7,55.3,40.5,84.7,80.0,78.7,69.9,75.8,80.0,75.0,70.0,0.76
Australia,2018,80.9,78.7,77.4,63.0,61.2,89.1,79.7,87.4,86.2,80.0,90.0,0.938
Austria,2018,71.8,83.5,73.5,49.9,19.4,75.5,66.7,83.7,86.9,90.0,70.0,0.914
Azerbaijan,2018,64.3,53.6,39.9,87.5,59.4,72.3,71.9,65.6,74.6,55.0,60.0,0.754
Bahrain,2018,67.7,62.1,51.8,99.9,66.4,75.5,76.5,79.9,83.4,75.0,80.0,0.838
Bangladesh,2018,55.1,32.4,21.2,72.7,94.2,52.1,66.4,69.0,61.2,50.0,30.0,0.614
Barbados,2018,57.0,51.4,53.8,74.0,39.3,70.5,63.2,85.0,62.2,70.0,60.0,0.813
Belarus,2018,58.1,53.5,42.0,89.8,47.9,74.1,73.1,62.3,81.4,30.0,10.0,0.817
Belgium,2018,67.5,81.2,70.9,44.0,12.1,80.6,59.5,82.6,86.9,85.0,70.0,0.919
Belize,2018,57.1,42.1,34.7,80.0,65.5,62.9,48.7,78.3,64.9,55.0,50.0,0.72
Benin,2018,56.7,35.5,30.2,67.4,85.6,60.7,49.9,84.7,55.6,80.0,50.0,0.52
Bhutan,2018,61.8,60.9,50.9,83.0,72.2,72.5,75.7,70.5,74.4,20.0,30.0,0.617
Bolivia,2018,44.1,19.0,23.1,85.7,46.5,59.2,49.2,67.5,75.5,5.0,40.0,0.703
Bosnia and Herzegovina,2018,61.4,39.5,28.4,83.5,41.5,49.3,59.6,83.5,87.8,65.0,60.0,0.769
Botswana,2018,69.9,57.7,56.6,76.1,63.4,69.5,64.6,79.0,83.9,65.0,70.0,0.728
Brazil,2018,51.4,55.8,31.4,70.6,50.7,58.6,46.8,71.4,68.5,50.0,50.0,0.761
Brunei Darussalam,2018,64.2,56.6,45.4,85.6,57.7,79.9,88.9,75.1,89.1,65.0,50.0,0.845
Bulgaria,2018,68.3,63.6,38.2,90.9,60.5,64.3,66.1,82.8,86.9,70.0,60.0,0.816
Burma,2018,53.9,32.5,28.2,86.3,84.7,54.2,65.9,67.6,70.9,30.0,20.0,0.584
Burundi,2018,50.9,17.6,26.2,71.0,78.6,53.0,63.2,70.2,69.2,55.0,30.0,0.423
Cabo Verde,2018,60.0,42.1,42.8,74.0,71.5,64.6,40.5,83.5,68.2,80.0,60.0,0.651
Cambodia,2018,58.7,36.0,17.7,89.8,86.5,30.6,57.7,79.7,80.3,60.0,50.0,0.581
Cameroon,2018,51.9,40.6,23.4,73.7,86.1,44.0,42.9,82.5,53.4,25.0,50.0,0.563
Canada,2018,77.7,87.5,78.3,76.7,52.3,81.8,71.3,77.5,88.1,80.0,80.0,0.922
Chad,2018,49.3,25.1,23.1,44.8,90.5,29.4,40.3,79.9,52.2,60.0,40.0,0.401
Chile,2018,75.2,67.9,61.2,78.0,81.3,72.4,60.4,82.4,88.7,85.0,70.0,0.847
China,2018,57.8,46.7,47.3,70.4,71.6,54.9,61.4,71.4,73.2,25.0,20.0,0.758
Colombia,2018,68.9,60.7,33.4,80.3,74.4,78.6,75.2,73.9,81.6,80.0,70.0,0.761
Comoros,2018,56.2,36.7,27.5,59.7,77.8,57.5,58.7,81.2,74.9,45.0,30.0,0.538
Costa Rica,2018,65.6,54.8,51.8,79.3,88.9,68.3,50.3,85.0,84.7,70.0,50.0,0.794
Croatia,2018,61.0,65.9,40.5,66.0,32.5,58.9,43.0,79.1,87.4,75.0,60.0,0.837
